timestamp_ms,frame_wall_ms,update_ms,upload_ms,render_submit_ms,gpu_ms,gpu_valid,swap_ms,gc_pause_ms,chunks_loaded,chunks_visible,draw_calls,triangles,x,y,z
115,109.801,62.957,0.002,30.427,0.000,false,14.785,2.000,8,0,0,0,0.0,200.0,-5.0
148,30.036,8.000,0.000,1.618,17.901,true,20.379,6.000,18,0,0,0,0.0,200.0,-10.0
188,39.874,8.784,0.000,6.346,18.547,true,24.629,0.000,28,0,0,0,0.0,200.0,-11.6
225,36.437,8.705,0.000,6.749,23.952,true,20.869,4.000,38,0,0,0,0.0,200.0,-13.6
267,41.772,6.130,0.001,6.051,19.208,true,29.486,0.000,48,0,0,0,0.0,200.0,-15.5
306,39.220,15.601,0.001,2.412,27.975,true,21.091,7.000,58,0,0,0,0.0,200.0,-17.6
339,32.907,6.182,0.000,2.717,20.241,true,23.964,0.000,68,1,1,1000,0.0,200.0,-19.5
376,37.381,14.950,0.000,1.432,23.478,true,20.961,8.000,78,1,1,1000,0.0,200.0,-21.2
426,49.437,7.223,0.001,5.890,19.930,true,36.239,0.000,88,2,2,1714,0.0,200.0,-23.0
470,44.222,4.158,0.000,23.974,28.931,true,16.032,15.000,98,3,3,2466,0.0,200.0,-25.5
485,14.495,5.716,0.000,1.854,17.343,true,6.874,0.000,108,7,7,5636,0.0,200.0,-27.7
537,51.966,5.037,0.000,11.447,21.539,true,35.286,16.000,112,7,7,5636,0.0,200.0,-28.5
553,16.265,8.246,0.000,1.803,35.221,true,6.155,0.000,122,7,7,5636,0.0,200.0,-31.1
583,29.199,5.776,0.000,6.853,16.201,true,16.340,0.000,132,7,7,5636,0.0,200.0,-31.9
635,51.750,25.817,0.001,3.049,16.469,true,22.818,19.000,142,7,7,5636,0.0,200.0,-33.4
668,33.592,5.267,0.000,4.813,22.358,true,23.418,0.000,152,12,12,9926,0.0,200.0,-36.0
718,49.340,6.054,0.000,1.823,23.533,true,41.416,26.000,162,12,12,9926,0.0,200.0,-37.6
733,15.515,5.573,0.000,6.380,16.975,true,3.447,0.000,172,12,12,9926,0.0,200.0,-40.1
786,52.802,4.980,0.000,29.358,37.352,true,18.342,0.000,182,12,12,9926,0.0,200.0,-40.9
851,64.386,8.625,0.000,4.628,17.368,true,51.061,30.000,192,13,13,10880,0.0,200.0,-43.5
880,28.577,4.340,0.000,5.420,26.321,true,18.716,0.000,202,15,15,12842,0.0,200.0,-46.8
916,36.365,5.659,0.001,4.583,18.607,true,26.013,0.000,212,18,18,15128,0.0,200.0,-48.2
956,39.369,5.552,0.001,13.034,25.896,true,20.693,0.000,222,19,19,15724,0.0,200.0,-50.0
982,26.212,4.418,0.001,2.597,20.717,true,19.136,0.000,232,23,23,18342,0.0,200.0,-52.0
1073,91.294,54.133,0.000,10.057,19.073,true,27.004,47.000,242,23,23,18342,0.0,200.0,-53.3
1099,26.031,3.875,0.000,2.332,26.988,true,19.758,0.000,252,24,24,18988,0.0,200.0,-57.9
1134,34.440,3.510,0.000,2.270,19.693,true,28.602,0.000,262,24,24,18988,0.0,200.0,-59.2
1200,66.363,5.763,0.000,8.217,28.203,true,52.327,48.000,272,35,35,26412,0.0,200.0,-60.9
1211,10.861,3.484,0.000,2.310,26.896,true,5.007,0.000,282,36,36,27130,0.0,200.0,-64.2
1279,67.512,2.835,0.000,21.279,27.973,true,43.329,0.000,292,36,36,27130,0.0,200.0,-64.8
1309,29.736,5.033,0.000,3.506,42.720,true,21.133,0.000,302,37,37,28228,0.0,200.0,-68.2
