timestamp_ms,frame_wall_ms,cpu_update_ms,cpu_render_ms,swap_ms,gpu_ms,gc_pause_ms,chunks_loaded,chunks_visible,draw_calls,triangles,x,y,z
132,127.406,66.131,27.328,2.228,0.000,6.000,10,2,2,1836,0.0,200.0,-5.0
197,64.251,12.442,4.349,2.095,0.000,0.000,20,2,2,1836,0.0,200.0,-10.0
238,41.459,17.903,1.305,16.966,0.000,8.000,30,2,2,1836,0.0,200.0,-13.2
291,52.991,18.772,1.072,1.949,0.000,11.000,40,2,2,1836,0.0,200.0,-15.5
314,22.736,4.705,1.126,11.810,0.000,0.000,50,2,2,1836,0.0,200.0,-18.0
348,33.857,6.429,1.107,0.951,0.000,9.000,60,2,2,1836,0.0,200.0,-19.1
390,42.046,5.784,4.980,0.689,0.000,0.000,70,2,2,1836,0.0,200.0,-20.8
423,32.208,12.894,2.174,0.809,0.000,9.000,80,2,2,1836,0.0,200.0,-22.9
456,33.227,6.086,2.390,0.751,0.000,0.000,90,2,2,1836,0.0,200.0,-24.5
523,66.543,40.703,1.283,21.663,0.000,14.000,100,5,5,4508,0.0,200.0,-27.8
563,39.958,14.989,1.211,0.608,0.000,0.000,110,5,5,4508,0.0,200.0,-30.0
595,32.521,4.316,1.125,0.749,0.000,19.000,120,7,7,6092,0.0,200.0,-31.5
647,51.674,6.144,1.244,0.738,0.000,0.000,127,7,7,6092,0.0,200.0,-33.2
687,39.685,12.276,2.566,0.711,0.000,0.000,137,8,8,6778,0.0,200.0,-35.8
754,67.430,16.704,1.078,26.842,0.000,27.000,147,8,8,6778,0.0,200.0,-38.3
789,35.100,4.936,3.322,22.690,0.000,0.000,157,13,13,11000,0.0,200.0,-41.1
857,67.158,8.038,1.165,0.663,0.000,33.000,167,13,13,11000,0.0,200.0,-43.0
887,29.980,5.268,1.253,20.278,0.000,0.000,177,13,13,11000,0.0,200.0,-46.2
936,49.545,10.787,3.540,0.567,0.000,0.000,187,15,15,12930,0.0,200.0,-47.9
968,31.269,5.910,1.838,0.515,0.000,0.000,197,19,19,15812,0.0,200.0,-50.2
1037,69.013,9.795,39.073,0.557,0.000,36.000,207,19,19,15812,0.0,200.0,-52.0
1082,45.114,9.422,1.543,31.454,0.000,0.000,217,19,19,15812,0.0,200.0,-55.3
1123,40.943,13.527,1.426,0.529,0.000,0.000,227,23,23,18422,0.0,200.0,-57.8
1152,29.392,4.325,3.487,0.523,0.000,0.000,237,24,24,19076,0.0,200.0,-59.6
1233,80.531,57.539,1.819,0.559,0.000,52.000,247,29,29,22528,0.0,200.0,-61.0
1267,33.494,6.956,1.569,22.783,0.000,0.000,257,33,33,25104,0.0,200.0,-65.1
1325,58.274,10.247,1.861,0.493,0.000,0.000,267,36,36,27218,0.0,200.0,-66.9
1405,79.921,4.591,1.481,71.299,0.000,59.000,277,37,37,28316,0.0,200.0,-69.7
1442,37.396,3.786,1.589,0.386,0.000,0.000,287,37,37,28316,0.0,200.0,-73.6
1471,28.797,4.330,1.844,21.157,0.000,0.000,297,40,40,30846,0.0,200.0,-75.5
