timestamp_ms,fps,frame_ms,gc_pause_ms,heap_used_mb,loaded_chunks,meshed_chunks,pending_mesh_jobs,pending_io_jobs,mesh_quads,main_thread_blocked_ms
105,0.00,18.896,8,90,30,0,9,10,0,0
210,0.00,8.573,17,157,100,5,32,10,39079,0
312,0.00,5.512,24,179,180,9,61,10,67172,0
426,0.00,12.566,14,286,270,15,91,10,103078,0
530,0.00,13.017,16,399,350,21,115,10,146453,0
639,0.00,12.521,20,605,430,30,133,10,213832,0
745,0.00,13.756,34,566,490,34,142,10,240252,0
859,0.00,13.792,35,734,550,45,144,10,321275,0
999,59.00,13.758,43,688,620,52,140,10,368044,0
1156,59.00,15.485,60,883,690,67,131,10,472108,0
1256,59.00,15.964,22,1237,750,82,117,10,570517,0
1383,59.00,17.595,57,1154,790,94,104,10,646920,0
1498,59.00,15.920,0,1690,860,116,83,9,794651,0
1600,59.00,87.644,75,1342,875,120,81,6,811054,0
1705,59.00,24.978,27,636,905,127,73,6,849691,0
1828,59.00,24.152,0,1126,941,146,54,6,970355,0
1941,42.00,94.270,69,762,953,153,47,6,1013894,0
2043,42.00,23.530,0,1126,983,169,32,6,1115225,0
2162,42.00,25.886,70,750,995,175,25,6,1150039,0
2282,42.00,25.840,0,1282,1025,191,10,6,1257647,0
2490,42.00,100.000,89,1172,1043,201,0,6,1328010,0
2591,42.00,26.846,0,1198,1067,201,0,6,1328010,0
2710,42.00,29.647,0,1206,1091,201,0,6,1328010,0
2834,42.00,30.414,0,1214,1115,201,0,6,1328010,0
2962,31.00,32.423,0,1222,1139,201,0,6,1328010,0
3094,31.00,33.567,0,1246,1163,201,0,6,1328010,0
3218,31.00,31.102,0,1254,1187,201,0,6,1328010,0
3349,31.00,34.775,0,1262,1211,201,0,6,1328010,0
3478,31.00,31.278,0,1270,1235,201,0,6,1328010,0
3580,31.00,31.529,0,1326,1253,203,0,6,1341100,0
3710,31.00,31.993,0,1332,1277,203,0,3,1341100,0
3812,31.00,8.677,0,1332,1280,203,0,0,1341100,0
3922,31.00,34.055,0,1334,1280,203,0,0,1341100,0
4022,31.00,32.837,0,1392,1280,203,1,0,1341100,0
4146,31.00,32.724,0,1398,1280,204,0,0,1347807,0
4276,31.00,31.541,0,1398,1280,204,0,0,1347807,0
4409,31.00,32.494,0,1400,1280,204,0,0,1347807,0
4514,31.00,31.725,0,1464,1280,204,2,0,1347807,0
4636,31.00,31.628,0,1472,1280,206,0,0,1359129,0
4736,31.00,34.189,0,1472,1280,206,0,0,1359129,0
4868,31.00,32.875,0,1472,1280,206,0,0,1359129,0
4971,30.00,33.188,0,1474,1280,206,0,0,1359129,0
5089,30.00,43.819,40,1093,1280,206,0,0,1359129,0
5189,30.00,32.943,0,1093,1280,206,0,0,1359129,0
5289,30.00,31.786,0,1093,1280,206,0,0,1359129,0
5389,30.00,34.357,0,1093,1280,206,0,0,1359129,0
5529,30.00,34.619,0,1145,1280,206,0,0,1359129,0
5653,30.00,33.280,0,1145,1280,206,0,0,1359129,0
5787,30.00,34.063,0,1145,1280,206,0,0,1359129,0
5918,30.00,34.108,0,1145,1280,206,0,0,1359129,0
6020,30.00,31.958,0,1189,1280,206,0,0,1359129,0
6148,30.00,32.022,0,1189,1280,206,0,0,1359129,0
6249,30.00,34.055,0,1189,1280,206,0,0,1359129,0
6380,30.00,34.253,0,1195,1292,206,0,6,1359129,0
6516,30.00,34.656,0,1235,1310,206,0,0,1359129,0
6642,30.00,33.376,0,1235,1310,206,0,0,1359129,0
6771,30.00,31.334,0,1235,1310,206,0,0,1359129,0
6871,30.00,33.189,0,1235,1310,206,0,0,1359129,0
7000,30.00,31.720,0,1237,1310,206,0,0,1359129,0
7129,30.00,32.716,0,1239,1310,206,0,0,1359129,0
7259,30.00,32.067,0,1239,1310,206,0,0,1359129,0
7389,30.00,31.700,0,1239,1310,206,0,0,1359129,0
7519,30.00,33.023,0,1239,1310,206,0,0,1359129,0
7647,30.00,31.537,0,1241,1310,206,0,0,1359129,0
7776,30.00,32.583,0,1241,1310,206,0,0,1359129,0
7905,30.00,31.360,0,1241,1310,206,0,0,1359129,0
8032,31.00,32.182,0,1243,1310,206,0,0,1359129,0
8162,31.00,32.855,0,1243,1310,206,0,0,1359129,0
8290,31.00,32.044,0,1243,1310,206,0,0,1359129,0
8390,31.00,31.826,0,1243,1310,206,0,0,1359129,0
8517,31.00,32.721,0,1245,1310,206,0,0,1359129,0
8646,31.00,32.313,0,1249,1313,206,0,6,1359129,0
8775,31.00,31.739,0,1255,1337,206,0,6,1359129,0
8902,31.00,31.674,0,1257,1345,206,0,0,1359129,0
