timestamp_ms,fps,frame_ms,gc_pause_ms,heap_used_mb,loaded_chunks,meshed_chunks,pending_mesh_jobs,pending_io_jobs,mesh_quads,main_thread_blocked_ms
104,0.00,26.719,6,36,30,0,12,10,0,0
204,0.00,12.224,9,182,120,3,45,10,21842,0
317,0.00,12.646,19,209,210,6,78,10,40984,0
420,0.00,12.076,12,354,290,10,105,10,67943,0
528,0.00,12.750,20,406,370,15,131,10,101527,0
638,0.00,14.153,22,602,450,21,151,10,142622,0
747,0.00,13.929,32,659,520,27,158,10,186762,0
848,0.00,11.899,32,665,580,35,159,10,235019,0
971,63.00,54.750,44,554,640,41,155,10,276161,0
1079,63.00,15.984,0,1174,720,50,147,10,346119,0
1185,63.00,7.364,55,807,770,54,144,10,376626,0
1296,63.00,15.808,0,1459,840,63,133,10,440411,0
1401,63.00,13.832,57,1031,876,67,131,6,467536,0
1510,63.00,17.285,0,1541,918,75,123,6,523361,0
1631,63.00,21.450,57,1194,948,81,117,6,562350,0
1732,63.00,17.948,0,1808,984,93,105,6,635808,0
1862,63.00,79.943,68,1152,1008,101,97,6,685990,0
1978,51.00,19.617,0,1778,1050,110,87,6,747012,0
2094,51.00,21.826,0,2246,1086,119,78,6,807291,0
2195,51.00,6.285,86,1354,1098,121,77,6,814699,0
2295,51.00,19.054,33,1612,1128,127,71,6,845785,0
2397,51.00,20.806,41,1418,1152,133,64,6,878211,0
2497,51.00,10.101,48,1546,1182,139,59,6,915551,0
2600,51.00,20.354,0,2044,1212,147,51,6,970282,0
2714,51.00,19.545,0,2616,1242,156,41,6,1026534,0
2924,51.00,100.000,89,1733,1272,168,30,5,1102273,0
3039,41.00,96.780,65,1814,1289,173,25,6,1131853,0
3149,41.00,25.488,2,1242,1301,182,16,4,1191312,0
3266,41.00,27.856,0,1930,1305,192,6,0,1260859,0
3386,41.00,86.220,59,1086,1305,196,2,0,1286009,0
3493,41.00,25.879,0,1342,1305,198,0,0,1297941,0
3611,41.00,29.304,0,1342,1305,198,0,0,1297941,0
3724,41.00,30.627,0,1354,1305,198,0,0,1297941,0
3848,41.00,31.376,0,1356,1305,198,0,0,1297941,0
3972,32.00,31.115,0,1356,1305,198,0,0,1297941,0
4098,32.00,30.999,0,1358,1305,198,0,0,1297941,0
4224,32.00,31.410,0,1358,1305,198,0,0,1297941,0
4325,32.00,30.631,0,1360,1305,198,0,0,1297941,0
4454,32.00,32.172,0,1360,1305,198,0,0,1297941,0
4604,32.00,31.590,0,1360,1305,198,0,0,1297941,0
4730,32.00,32.291,0,1446,1305,199,0,0,1304452,0
4859,32.00,32.269,0,1446,1305,199,0,0,1304452,0
4987,31.00,31.807,0,1446,1305,199,0,0,1304452,0
5116,31.00,30.916,0,1448,1305,199,0,0,1304452,0
5246,31.00,31.538,0,1488,1305,199,0,0,1304452,0
5374,31.00,30.921,0,1488,1305,199,0,0,1304452,0
5504,31.00,33.027,0,1490,1305,199,0,0,1304452,0
5636,31.00,31.906,0,1536,1305,199,1,0,1304452,0
5758,31.00,31.819,0,1564,1305,200,0,0,1309233,0
5887,31.00,31.609,0,1564,1305,200,0,0,1309233,0
6020,31.00,32.458,0,1566,1305,200,0,0,1309233,0
6121,31.00,32.306,0,1592,1305,200,0,0,1309233,0
6245,31.00,33.369,0,1594,1311,200,0,0,1309233,0
6374,31.00,32.044,0,1600,1328,200,0,0,1309233,0
6501,31.00,31.474,0,1602,1328,200,0,0,1309233,0
6603,31.00,32.742,0,1672,1328,200,0,0,1309233,0
6730,31.00,32.015,0,1672,1328,200,0,0,1309233,0
6860,31.00,32.161,0,1672,1328,200,0,0,1309233,0
6989,31.00,31.779,0,1674,1328,200,0,0,1309233,0
7122,31.00,33.601,0,1710,1328,200,0,0,1309233,0
7245,31.00,31.620,0,1712,1328,200,0,0,1309233,0
7374,31.00,32.203,0,1712,1328,200,0,0,1309233,0
7502,31.00,31.494,0,1712,1328,200,0,0,1309233,0
7629,31.00,32.471,0,1714,1328,200,0,0,1309233,0
7758,31.00,32.082,0,1714,1328,200,0,0,1309233,0
7886,31.00,32.032,0,1716,1328,200,0,0,1309233,0
8013,31.00,31.358,0,1716,1328,200,0,0,1309233,0
8143,31.00,32.655,0,1718,1328,200,0,0,1309233,0
8269,31.00,31.961,0,1718,1328,200,0,0,1309233,0
8396,31.00,30.975,0,1718,1328,200,0,0,1309233,0
8528,31.00,33.726,0,1718,1328,200,0,0,1309233,0
8656,31.00,31.575,0,1724,1329,200,0,6,1309233,0
8782,31.00,34.054,0,1730,1353,200,0,6,1309233,0
8908,31.00,31.035,0,1730,1359,200,0,0,1309233,0
9009,31.00,31.211,0,1774,1359,200,1,0,1309233,0
9134,31.00,33.119,0,1814,1359,201,0,0,1316115,0
9262,31.00,33.352,0,1814,1359,201,0,0,1316115,0
9389,31.00,32.308,0,1816,1360,201,0,0,1316115,0
9489,31.00,30.817,0,1888,1371,201,2,0,1316115,0
9614,31.00,32.931,0,1974,1371,203,0,0,1330492,0
9742,31.00,31.447,0,1974,1371,203,0,0,1330492,0
9869,31.00,30.761,0,1974,1371,203,0,0,1330492,0
9972,31.00,32.378,0,2052,1371,203,4,0,1330492,0
10102,31.00,33.367,0,2286,1371,207,0,0,1362356,0
10229,31.00,31.005,0,2286,1371,207,0,0,1362356,0
10356,31.00,30.917,0,2288,1371,207,0,0,1362356,0
10457,31.00,31.923,0,2340,1371,207,4,0,1362356,0
10567,31.00,34.089,77,936,1371,207,2,0,1362356,0
10684,31.00,31.424,0,1018,1371,211,0,0,1390668,0
