timestamp_ms,fps,frame_ms,gc_pause_ms,heap_used_mb,loaded_chunks,meshed_chunks,pending_mesh_jobs,pending_io_jobs,mesh_quads,main_thread_blocked_ms
109,0.00,29.028,7,68,30,0,12,10,0,0
211,0.00,50.476,10,89,60,1,21,10,7267,0
324,0.00,21.725,13,117,110,3,41,10,22734,0
431,0.00,19.065,0,387,170,6,63,10,41876,0
541,0.00,13.764,13,265,230,8,84,10,54066,0
659,0.00,35.463,19,231,280,10,102,10,67512,0
778,0.00,19.580,0,539,340,14,121,10,94590,0
883,0.00,46.606,16,305,390,14,141,10,94590,0
1004,41.00,13.510,0,645,450,18,155,10,119533,0
1111,41.00,13.481,23,419,490,19,160,10,125922,0
1223,41.00,25.706,0,827,560,23,175,10,155288,0
1359,41.00,17.899,23,369,640,24,183,10,164170,0
1473,41.00,36.719,0,665,690,24,184,10,164170,0
1576,41.00,26.976,0,1057,740,27,181,10,189465,0
1679,41.00,15.416,31,748,790,30,178,10,208951,0
1795,41.00,23.448,0,1202,840,31,175,10,212774,0
1901,41.00,18.624,24,700,873,34,173,6,231888,0
2004,49.00,23.062,0,1062,903,37,170,6,251754,0
2131,49.00,18.324,37,561,933,38,168,6,258075,0
2240,49.00,21.468,0,1027,975,41,165,6,280316,0
2343,49.00,14.266,0,1357,1023,44,163,6,301180,0
2478,49.00,15.336,40,648,1059,45,161,6,308095,0
2579,49.00,16.110,0,1012,1107,47,160,6,323814,0
2686,49.00,15.362,0,1434,1149,52,155,6,357615,0
2803,49.00,15.786,40,731,1179,52,155,6,357615,0
2910,57.00,15.055,0,1129,1227,56,150,6,382641,0
3014,57.00,15.602,0,1499,1267,59,148,0,398994,0
3135,57.00,19.737,39,946,1291,62,145,6,415645,0
3244,57.00,15.792,0,1372,1301,66,141,0,441298,0
3355,57.00,16.009,0,1740,1301,69,138,0,464795,0
3462,57.00,16.781,45,1140,1301,70,137,0,472769,0
3572,57.00,15.679,0,1534,1301,73,134,0,490918,0
3684,57.00,15.257,0,1904,1301,76,131,0,513777,0
3791,57.00,58.590,50,988,1301,78,129,0,527472,0
3901,57.00,15.983,0,1464,1301,81,126,0,551161,0
4013,61.00,15.740,0,1856,1301,84,123,0,569977,0
4142,61.00,65.168,52,1061,1301,85,122,0,575706,0
4254,61.00,16.294,0,1501,1301,89,118,0,603096,0
