timestamp_ms,fps,frame_ms,gc_pause_ms,heap_used_mb,loaded_chunks,meshed_chunks,pending_mesh_jobs,pending_io_jobs,mesh_quads,main_thread_blocked_ms
110,0.00,66.372,6,30,20,0,8,10,0,0
212,0.00,13.134,17,87,100,3,37,10,22381,0
314,0.00,11.421,0,263,190,6,70,10,41523,0
424,0.00,12.403,23,175,270,9,99,10,61084,0
526,0.00,12.876,18,210,340,12,122,10,81239,0
628,0.00,7.304,19,387,420,19,146,10,125742,0
729,0.00,7.906,31,441,480,25,149,10,173125,0
852,0.00,41.976,35,445,560,31,162,10,213989,0
964,62.00,15.264,0,939,650,38,157,10,259290,0
1074,62.00,15.091,37,826,710,45,154,10,309310,0
1214,62.00,14.754,47,677,770,54,147,10,371329,0
1325,62.00,14.670,0,1245,849,63,136,6,423023,0
1433,62.00,8.381,48,905,879,69,132,6,466010,0
1545,62.00,15.806,0,1451,921,77,124,6,518451,0
1683,62.00,74.562,64,1000,951,84,117,6,560596,0
1789,62.00,17.103,0,1596,993,95,106,6,627163,0
1948,52.00,84.005,74,1131,1023,102,98,6,672694,0
2068,52.00,18.870,0,1759,1065,113,88,6,746577,0
2193,52.00,73.216,66,1259,1089,118,82,6,780331,0
2302,52.00,19.197,2,1023,1125,124,77,6,822696,0
2402,52.00,19.317,0,1489,1155,133,66,6,881509,0
2514,52.00,33.714,53,934,1179,140,60,6,918110,0
2627,52.00,22.566,0,1524,1209,149,51,6,980586,0
2760,52.00,89.624,73,749,1227,154,47,6,1013169,0
2881,52.00,24.428,0,1265,1263,163,38,6,1076130,0
3006,42.00,28.686,0,1881,1278,173,28,6,1132565,0
3165,42.00,26.933,86,957,1290,180,21,6,1175683,0
3277,42.00,28.282,0,1575,1306,189,12,0,1244362,0
3480,42.00,31.876,85,1219,1306,196,1,0,1286721,0
3594,42.00,26.329,0,1377,1306,201,0,0,1316412,0
3714,42.00,29.272,0,1389,1306,201,0,0,1316412,0
3838,42.00,29.988,0,1391,1306,201,0,0,1316412,0
3962,30.00,30.734,0,1391,1306,201,0,0,1316412,0
4090,30.00,30.726,0,1393,1306,201,0,0,1316412,0
4214,30.00,30.411,0,1393,1306,201,0,0,1316412,0
4339,30.00,31.663,0,1393,1306,201,0,0,1316412,0
4465,30.00,31.413,0,1395,1306,201,0,0,1316412,0
4593,30.00,33.331,0,1395,1306,201,0,0,1316412,0
4731,30.00,47.984,0,1419,1306,201,0,0,1316412,0
4847,30.00,31.974,0,1419,1306,201,0,0,1316412,0
4974,31.00,31.439,0,1421,1306,201,0,0,1316412,0
5103,31.00,32.897,0,1421,1306,201,0,0,1316412,0
5210,31.00,31.465,41,1144,1306,201,1,0,1316412,0
5314,31.00,30.996,0,1188,1306,202,0,0,1322923,0
5445,31.00,33.573,0,1188,1306,202,0,0,1322923,0
5575,31.00,31.938,0,1188,1306,202,0,0,1322923,0
5675,31.00,31.761,0,1220,1306,202,0,0,1322923,0
5800,31.00,31.528,0,1220,1306,202,0,0,1322923,0
5928,31.00,32.421,0,1220,1306,202,0,0,1322923,0
6056,31.00,31.923,0,1222,1306,202,0,0,1322923,0
6157,31.00,31.609,0,1268,1306,202,1,0,1322923,0
6281,31.00,32.215,0,1300,1312,203,0,0,1327704,0
6409,31.00,31.569,0,1306,1328,203,0,0,1327704,0
6540,31.00,32.540,0,1306,1328,203,0,0,1327704,0
6640,31.00,32.760,0,1366,1328,203,0,0,1327704,0
6766,31.00,32.553,0,1366,1328,203,0,0,1327704,0
6896,31.00,31.268,0,1366,1328,203,0,0,1327704,0
7027,31.00,33.508,0,1368,1328,203,0,0,1327704,0
7136,31.00,32.476,7,1144,1328,203,0,0,1327704,0
7253,31.00,33.096,0,1144,1328,203,0,0,1327704,0
7382,31.00,31.581,0,1144,1328,203,0,0,1327704,0
7509,31.00,31.655,0,1146,1328,203,0,0,1327704,0
7612,31.00,31.626,0,1150,1328,203,0,0,1327704,0
7733,31.00,32.047,0,1150,1328,203,0,0,1327704,0
7862,31.00,31.674,0,1150,1328,203,0,0,1327704,0
7989,31.00,31.278,0,1152,1328,203,0,0,1327704,0
8119,31.00,33.043,0,1152,1328,203,0,0,1327704,0
8245,31.00,31.776,0,1152,1328,203,0,0,1327704,0
8372,31.00,31.417,0,1154,1328,203,0,0,1327704,0
8501,31.00,32.820,0,1154,1328,203,0,0,1327704,0
8629,31.00,31.701,0,1158,1329,203,0,6,1327704,0
8756,31.00,32.687,0,1166,1353,203,0,6,1327704,0
8884,31.00,30.876,0,1166,1359,203,0,0,1327704,0
9014,31.00,33.048,0,1166,1359,203,0,0,1327704,0
9142,31.00,30.305,0,1254,1359,204,0,0,1334586,0
9271,31.00,32.109,0,1254,1359,204,0,0,1334586,0
9399,31.00,32.345,0,1258,1360,204,0,6,1334586,0
