timestamp_ms,fps,frame_ms,gc_pause_ms,heap_used_mb,loaded_chunks,meshed_chunks,pending_mesh_jobs,pending_io_jobs,mesh_quads,main_thread_blocked_ms,bytes_written_total,chunks_saved_total,io_flush_ms,io_queue_high_water,io_jobs_dropped,io_jobs_merged,io_jobs_enqueued,io_backpressure_ms
114,0.00,97.967,3,28,20,0,8,0,0,0,0,0,0,0,0,0,0,0
229,0.00,22.921,3,66,65,4,16,0,41481,0,0,0,0,0,0,0,0,0
333,0.00,11.061,0,200,145,8,45,0,78959,0,0,0,0,0,0,0,0,0
440,0.00,13.388,7,85,219,12,72,0,110474,0,0,0,0,0,0,0,0,0
545,0.00,13.002,7,117,299,17,97,0,148917,0,0,0,0,0,0,0,0,0
660,0.00,12.467,0,369,379,26,118,0,211062,0,0,0,0,0,0,0,0,0
770,0.00,16.920,4,514,459,45,117,0,338623,0,0,0,0,0,0,0,0,0
870,0.00,15.781,2,352,529,56,127,0,415938,0,0,0,0,0,0,0,0,0
977,60.00,17.681,6,184,599,68,113,0,501472,0,0,0,0,0,0,0,0,0
1083,60.00,17.032,7,138,659,92,93,0,651236,0,0,0,0,0,0,0,0,0
1203,60.00,18.029,7,161,729,121,66,0,829308,0,0,0,0,0,0,0,0,0
1316,60.00,19.271,0,711,789,147,40,0,1007963,0,0,0,0,0,0,0,0,0
1425,60.00,27.883,6,624,839,166,21,0,1134504,0,0,0,0,0,0,0,0,0
1544,60.00,34.413,12,542,879,188,0,0,1265005,0,0,0,0,0,0,0,0,0
1651,60.00,24.693,13,512,919,188,0,0,1265005,0,0,0,0,0,0,0,0,0
1757,60.00,27.472,0,622,949,188,1,0,1264438,0,0,0,0,0,0,0,0,0
1870,60.00,30.173,0,740,989,191,0,0,1274014,0,0,0,0,0,0,0,0,0
1994,44.00,31.185,0,796,1013,191,0,0,1274014,0,0,0,0,0,0,0,0,0
2122,44.00,32.726,0,812,1037,191,0,0,1274014,0,0,0,0,0,0,0,0,0
2222,44.00,33.138,0,822,1055,191,0,0,1274014,0,0,0,0,0,0,0,0,0
2329,44.00,35.800,0,834,1073,191,0,0,1274014,0,0,0,0,0,0,0,0,0
2437,44.00,34.943,0,876,1091,191,3,0,1274014,0,0,0,0,0,0,0,0,0
2543,44.00,36.313,0,936,1109,194,0,0,1295216,0,0,0,0,0,0,0,0,0
2652,44.00,35.420,0,946,1127,194,0,0,1295216,0,0,0,0,0,0,0,0,0
2758,44.00,36.050,0,958,1145,194,0,0,1295216,0,0,0,0,0,0,0,0,0
2868,44.00,36.777,0,968,1163,194,0,0,1295216,0,0,0,0,0,0,0,0,0
2982,29.00,36.249,0,1014,1181,194,3,0,1295216,0,0,0,0,0,0,0,0,0
3089,29.00,37.336,0,1054,1199,197,0,0,1312855,0,0,0,0,0,0,0,0,0
3193,29.00,36.004,0,1064,1217,197,0,0,1312855,0,0,0,0,0,0,0,0,0
3302,29.00,36.173,0,1074,1235,197,0,0,1312855,0,0,0,0,0,0,0,0,0
3438,29.00,36.109,0,1086,1253,197,0,0,1312855,0,0,0,0,0,0,0,0,0
3541,29.00,9.181,0,1120,1271,197,0,0,1312855,0,0,0,0,0,0,0,0,0
3656,29.00,36.230,0,1122,1279,197,0,0,1312855,0,0,0,0,0,0,0,0,0
3766,29.00,35.923,0,1124,1279,197,0,0,1312855,0,0,0,0,0,0,0,0,0
3874,29.00,35.583,0,1124,1279,197,0,0,1312855,0,0,0,0,0,0,0,0,0
3983,27.00,36.630,0,1124,1279,197,0,0,1312855,0,0,0,0,0,0,0,0,0
4089,27.00,36.889,0,1186,1279,197,0,0,1312855,0,0,0,0,0,0,0,0,0
4194,27.00,35.301,0,1186,1279,197,0,0,1312855,0,0,0,0,0,0,0,0,0
4301,27.00,35.341,0,1186,1279,197,0,0,1312855,0,0,0,0,0,0,0,0,0
4410,27.00,36.662,0,1186,1279,197,0,0,1312855,0,0,0,0,0,0,0,0,0
4521,27.00,36.095,0,1186,1279,197,0,0,1312855,0,0,0,0,0,0,0,0,0
4633,27.00,35.588,0,1228,1279,197,0,0,1312855,0,0,0,0,0,0,0,0,0
4739,27.00,35.046,0,1228,1279,197,0,0,1312855,0,0,0,0,0,0,0,0,0
4847,27.00,36.175,0,1228,1279,197,0,0,1312855,0,0,0,0,0,0,0,0,0
4961,28.00,35.772,0,1228,1279,197,0,0,1312855,0,0,0,0,0,0,0,0,0
5062,28.00,35.639,0,1228,1279,197,0,0,1312855,0,0,0,0,0,0,0,0,0
5170,28.00,35.542,0,1234,1279,197,0,0,1312855,0,0,0,0,0,0,0,0,0
5278,28.00,35.920,0,1234,1279,197,0,0,1312855,0,0,0,0,0,0,0,0,0
5379,28.00,33.932,0,1234,1279,197,0,0,1312855,0,0,0,0,0,0,0,0,0
5484,28.00,34.311,0,1234,1279,197,0,0,1312855,0,0,0,0,0,0,0,0,0
5590,28.00,36.015,0,1234,1279,197,0,0,1312855,0,0,0,0,0,0,0,0,0
5695,28.00,33.833,0,1236,1279,197,0,0,1312855,0,0,0,0,0,0,0,0,0
5797,28.00,34.240,0,1236,1279,197,0,0,1312855,0,0,0,0,0,0,0,0,0
5900,28.00,34.457,0,1236,1279,197,0,0,1312855,0,0,0,0,0,0,0,0,0
6033,28.00,35.454,0,1238,1279,197,0,0,1312855,0,0,0,0,0,0,0,0,0
6138,28.00,34.016,0,1238,1279,197,0,0,1312855,0,0,0,0,0,0,0,0,0
6249,28.00,35.469,0,1286,1285,197,0,0,1312855,0,0,0,0,0,0,0,0,0
6350,28.00,35.286,0,1298,1297,197,0,0,1312855,0,0,0,0,0,0,0,0,0
6452,28.00,35.842,0,1302,1311,197,0,0,1312855,0,0,0,0,0,0,0,0,0
6555,28.00,34.922,0,1302,1311,197,0,0,1312855,0,0,0,0,0,0,0,0,0
6657,28.00,34.206,0,1304,1311,197,0,0,1312855,0,0,0,0,0,0,0,0,0
6762,28.00,34.956,0,1338,1311,198,0,0,1318630,0,0,0,0,0,0,0,0,0
6862,28.00,32.924,0,1338,1311,198,0,0,1318630,0,0,0,0,0,0,0,0,0
6963,29.00,33.512,0,1338,1311,198,0,0,1318630,0,0,0,0,0,0,0,0,0
7065,29.00,34.980,0,1340,1311,198,0,0,1318630,0,0,0,0,0,0,0,0,0
7165,29.00,33.657,0,1340,1311,198,0,0,1318630,0,0,0,0,0,0,0,0,0
7269,29.00,35.902,10,331,1311,199,0,0,1324978,0,0,0,0,0,0,0,0,0
7401,29.00,32.660,0,333,1311,199,0,0,1324978,0,0,0,0,0,0,0,0,0
