timestamp_ms,fps,frame_ms,gc_pause_ms,heap_used_mb,loaded_chunks,meshed_chunks,pending_mesh_jobs,pending_io_jobs,mesh_quads,main_thread_blocked_ms,bytes_written_total,chunks_saved_total,io_flush_ms,io_queue_high_water,io_jobs_dropped,io_jobs_merged,io_jobs_enqueued,io_backpressure_ms
118,0.00,91.664,1,23,18,0,6,0,0,0,0,0,0,0,0,0,0,0
222,0.00,15.537,2,131,50,2,14,0,24027,0,0,0,0,0,0,0,0,0
342,0.00,18.012,6,47,108,8,31,0,78073,0,0,0,0,0,0,0,0,0
445,0.00,13.323,0,181,196,10,67,0,94657,0,0,0,0,0,0,0,0,0
551,0.00,12.027,0,355,274,13,100,0,112797,0,0,0,0,0,0,0,0,0
658,0.00,12.085,7,314,354,22,112,0,174358,0,0,0,0,0,0,0,0,0
762,0.00,14.978,6,315,434,33,123,0,250766,0,0,0,0,0,0,0,0,0
864,0.00,12.697,4,281,504,47,124,0,350491,0,0,0,0,0,0,0,0,0
970,57.00,19.572,6,157,574,63,121,0,465207,0,0,0,0,0,0,0,0,0
1079,57.00,15.741,0,619,644,85,101,0,598872,0,0,0,0,0,0,0,0,0
1197,57.00,23.797,7,592,704,108,78,0,755268,0,0,0,0,0,0,0,0,0
1311,57.00,18.127,7,561,764,135,54,0,920358,0,0,0,0,0,0,0,0,0
1416,57.00,22.833,6,456,814,157,33,0,1072020,0,0,0,0,0,0,0,0,0
1547,57.00,27.909,6,591,864,180,5,0,1214427,0,0,0,0,0,0,0,0,0
1665,57.00,29.433,23,501,904,188,0,0,1261138,0,0,0,0,0,0,0,0,0
1776,57.00,11.619,0,607,934,188,2,0,1261138,0,0,0,0,0,0,0,0,0
1903,57.00,28.588,0,755,974,190,0,0,1267106,0,0,0,0,0,0,0,0,0
2026,44.00,31.612,0,841,1001,191,2,0,1269995,0,0,0,0,0,0,0,0,0
2150,44.00,32.060,0,865,1025,193,0,0,1285069,0,0,0,0,0,0,0,0,0
